id,range_names,Clipper Invocations,Post-Clip Primitives,CS Invocations,DS Invocations,GPU Elapsed Time,GS Invocations,Post-GS Primitives,HS Invocations,Primitive Count,Vertex Count,VS Invocations,Pixels Rendered,PS Invocations
1766,DrawIndexed,154,154,0,0,14,0,0,0,154,462,295,0,0
1767,DrawIndexed,1103,60,0,0,14,0,0,0,1103,3309,1905,0,0
1768,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1769,DrawIndexed,244,244,0,0,14,0,0,0,244,732,389,0,0
1770,DrawIndexed,302,302,0,0,15,0,0,0,302,906,587,0,0
1771,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1772,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1773,DrawIndexed,244,244,0,0,15,0,0,0,244,732,389,0,0
1774,DrawIndexed,154,154,0,0,15,0,0,0,154,462,295,0,0
1775,DrawIndexed,244,244,0,0,22,0,0,0,244,732,389,0,0
1776,DrawIndexed,302,302,0,0,14,0,0,0,302,906,587,0,0
1777,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1778,DrawIndexed,1103,460,0,0,15,0,0,0,1103,3309,1905,0,0
1779,DrawIndexed,244,244,0,0,15,0,0,0,244,732,389,0,0
1780,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1781,DrawIndexed,36,36,0,0,14,0,0,0,36,108,60,0,0
1782,DrawIndexed,154,154,0,0,15,0,0,0,154,462,295,0,0
1783,DrawIndexed,36,36,0,0,14,0,0,0,36,108,60,0,0
1784,DrawIndexed,244,244,0,0,15,0,0,0,244,732,389,0,0
1785,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1786,DrawIndexed,302,302,0,0,15,0,0,0,302,906,587,0,0
1787,DrawIndexed,36,36,0,0,14,0,0,0,36,108,60,0,0
1788,DrawIndexed,1103,0,0,0,12,0,0,0,1103,3309,1905,0,0
1789,DrawIndexed,1103,1067,0,0,16,0,0,0,1103,3309,1905,0,0
1790,DrawIndexed,36,36,0,0,14,0,0,0,36,108,60,0,0
1791,DrawIndexed,244,244,0,0,14,0,0,0,244,732,389,0,0
1792,DrawIndexed,318,318,0,0,15,0,0,0,318,954,609,0,0
1793,DrawIndexed,154,136,0,0,15,0,0,0,154,462,295,0,0
1794,DrawIndexed,318,318,0,0,15,0,0,0,318,954,609,0,0
1795,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1796,DrawIndexed,302,302,0,0,15,0,0,0,302,906,587,0,0
1797,DrawIndexed,36,36,0,0,14,0,0,0,36,108,60,0,0
1798,DrawIndexed,318,318,0,0,15,0,0,0,318,954,609,0,0
1799,DrawIndexed,244,244,0,0,15,0,0,0,244,732,389,0,0
1800,DrawIndexed,36,36,0,0,14,0,0,0,36,108,60,0,0
1801,DrawIndexed,318,318,0,0,14,0,0,0,318,954,609,0,0
1802,DrawIndexed,1103,35,0,0,14,0,0,0,1103,3309,1905,0,0
1803,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1804,DrawIndexed,302,299,0,0,15,0,0,0,302,906,587,0,0
1805,DrawIndexed,318,318,0,0,15,0,0,0,318,954,609,0,0
1806,DrawIndexed,244,244,0,0,15,0,0,0,244,732,389,0,0
1807,DrawIndexed,36,36,0,0,14,0,0,0,36,108,60,0,0
1808,DrawIndexed,318,318,0,0,14,0,0,0,318,954,609,0,0
1809,DrawIndexed,1103,190,0,0,14,0,0,0,1103,3309,1905,0,0
1810,DrawIndexed,244,244,0,0,14,0,0,0,244,732,389,0,0
1811,DrawIndexed,36,36,0,0,14,0,0,0,36,108,60,0,0
1812,DrawIndexed,318,318,0,0,15,0,0,0,318,954,609,0,0
1813,DrawIndexed,36,36,0,0,14,0,0,0,36,108,60,0,0
1814,DrawIndexed,244,244,0,0,14,0,0,0,244,732,389,0,0
1815,DrawIndexed,318,318,0,0,14,0,0,0,318,954,609,0,0
1816,DrawIndexed,40,40,0,0,15,0,0,0,40,120,72,0,0
1817,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1818,DrawIndexed,40,40,0,0,13,0,0,0,40,120,72,0,0
1819,DrawIndexed,36,36,0,0,14,0,0,0,36,108,60,0,0
1820,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1821,DrawIndexed,318,318,0,0,15,0,0,0,318,954,609,0,0
1822,DrawIndexed,40,40,0,0,13,0,0,0,40,120,72,0,0
1823,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1824,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1825,DrawIndexed,40,40,0,0,13,0,0,0,40,120,72,0,0
1826,DrawIndexed,318,318,0,0,14,0,0,0,318,954,609,0,0
1827,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1828,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1829,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1830,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1831,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1832,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1833,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1834,DrawIndexed,644,644,0,0,14,0,0,0,644,1932,1284,0,0
1835,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1836,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1837,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1838,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1839,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1840,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1841,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1842,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1843,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1844,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1845,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1846,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1847,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1848,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1849,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1850,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1851,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1852,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1853,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1854,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1855,DrawIndexed,40,40,0,0,15,0,0,0,40,120,72,0,0
1856,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1857,DrawIndexed,40,40,0,0,15,0,0,0,40,120,72,0,0
1858,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1859,DrawIndexed,40,40,0,0,14,0,0,0,40,120,72,0,0
1860,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1861,DrawIndexed,40,37,0,0,25,0,0,0,40,120,72,0,0
1862,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1863,DrawIndexed,40,30,0,0,14,0,0,0,40,120,72,0,0
1864,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1865,DrawIndexed,40,16,0,0,14,0,0,0,40,120,72,0,0
1866,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1867,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1868,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1869,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1870,DrawIndexed,644,644,0,0,14,0,0,0,644,1932,1284,0,0
1871,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1872,DrawIndexed,644,644,0,0,14,0,0,0,644,1932,1284,0,0
1873,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1874,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1875,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1876,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1877,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1878,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1879,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1880,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1881,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1882,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1883,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1884,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1885,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
