id,range_names,GPU Elapsed Time
334,DrawIndexed,6.88
335,DrawIndexed,8.28
336,DrawIndexed,8.88
337,DrawIndexed,7.52
338,DrawIndexed,8.56
339,DrawIndexed,5.28
340,DrawIndexed,13.36
341,DrawIndexed,11.16
342,DrawIndexed,5.4
343,DrawIndexed,12.24
344,DrawIndexed,9.92
345,DrawIndexed,7.6
346,DrawIndexed,8.44
347,DrawIndexed,6
348,DrawIndexed,0.6
349,DrawIndexed,8.92
350,DrawIndexed,5.2
351,DrawIndexed,5.44
352,DrawIndexed,5.68
353,DrawIndexed,5.24
354,DrawIndexed,8.76
355,DrawIndexed,7.2
356,DrawIndexed,0.6
357,DrawIndexed,8.2
358,DrawIndexed,8.72
359,DrawIndexed,13.64
360,DrawIndexed,10.36
361,DrawIndexed,9.8
362,DrawIndexed,0.6
363,DrawIndexed,9.76
364,DrawIndexed,7
365,DrawIndexed,9.08
366,DrawIndexed,9.96
367,DrawIndexed,10.52
368,DrawIndexed,8.28
369,DrawIndexed,11.48
370,DrawIndexed,6.68
371,DrawIndexed,8.56
372,DrawIndexed,8.72
373,DrawIndexed,5.08
374,DrawIndexed,5.88
375,DrawIndexed,5.2
376,DrawIndexed,5.52
377,DrawIndexed,0.52
378,DrawIndexed,9.04
379,DrawIndexed,5.52
380,DrawIndexed,10.36
381,DrawIndexed,7.04
382,DrawIndexed,9.28
383,DrawIndexed,10.12
384,DrawIndexed,8.72
385,DrawIndexed,7.64
386,DrawIndexed,9.68
387,DrawIndexed,7.32
388,DrawIndexed,6.36
389,DrawIndexed,8.6
390,DrawIndexed,5.56
391,DrawIndexed,5.52
392,DrawIndexed,9.6
393,DrawIndexed,5.48
394,DrawIndexed,9.2
395,DrawIndexed,8.16
396,DrawIndexed,9.24
397,DrawIndexed,8.96
398,DrawIndexed,9.04
399,DrawIndexed,5.92
400,DrawIndexed,5.6
401,DrawIndexed,5.6
402,DrawIndexed,7.96
403,DrawIndexed,8
404,DrawIndexed,8.76
405,DrawIndexed,8.08
406,DrawIndexed,13.8
407,DrawIndexed,21
408,DrawIndexed,21.88
409,DrawIndexed,8.76
410,DrawIndexed,20.56
411,DrawIndexed,19.84
412,DrawIndexed,8.88
413,DrawIndexed,7.88
414,DrawIndexed,8.68
415,DrawIndexed,7.76
416,DrawIndexed,8.12
417,DrawIndexed,7.6
418,DrawIndexed,9.32
419,DrawIndexed,8.16
420,DrawIndexed,7.4
421,DrawIndexed,8.56
422,DrawIndexed,48.24
423,DrawIndexed,8.48
424,DrawIndexed,17.44
425,DrawIndexed,19.2
426,DrawIndexed,20
427,DrawIndexed,18.52
428,DrawIndexed,18.96
429,DrawIndexed,19.48
430,DrawIndexed,12.08
431,DrawIndexed,11.8
432,DrawIndexed,11.6
433,DrawIndexed,12.08
434,DrawIndexed,11.12
435,DrawIndexed,11.88
436,DrawIndexed,11.32
437,DrawIndexed,11.6
438,DrawIndexed,13.08
439,DrawIndexed,11.8
440,DrawIndexed,11.96
441,DrawIndexed,11.88
442,DrawIndexed,17.72
443,DrawIndexed,18.36
444,DrawIndexed,11.48
445,DrawIndexed,11.24
446,DrawIndexed,11.4
447,DrawIndexed,11.56
448,DrawIndexed,11.72
449,DrawIndexed,11.24
450,DrawIndexed,11.48
451,DrawIndexed,11.52
452,DrawIndexed,16.64
453,DrawIndexed,23.28
454,DrawIndexed,18.32
455,DrawIndexed,15.76
456,DrawIndexed,15.12
457,DrawIndexed,17.32
458,DrawIndexed,14.88
459,DrawIndexed,14.6
460,DrawIndexed,17
461,DrawIndexed,15.56
462,DrawIndexed,13.76
463,DrawIndexed,15.88
464,DrawIndexed,17.04
465,DrawIndexed,17.04
466,DrawIndexed,15.56
467,DrawIndexed,14.96
468,DrawIndexed,15.92
469,DrawIndexed,16.04
470,DrawIndexed,14.28
471,DrawIndexed,17
472,DrawIndexed,6.16
473,DrawIndexed,15.8
474,DrawIndexed,15.2
475,DrawIndexed,6.84
476,DrawIndexed,16.32
477,DrawIndexed,14.52
478,DrawIndexed,14.52
479,DrawIndexed,13.88
480,DrawIndexed,15.88
481,DrawIndexed,14.52
482,DrawIndexed,14.88
483,DrawIndexed,14.72
484,DrawIndexed,16.36
485,DrawIndexed,14.88
486,DrawIndexed,15.52
487,DrawIndexed,15
488,DrawIndexed,14.64
489,DrawIndexed,16.4
490,DrawIndexed,14.8
491,DrawIndexed,14.48
492,DrawIndexed,15.56
493,DrawIndexed,14.56
494,DrawIndexed,14.88
495,DrawIndexed,15.76
496,DrawIndexed,14.16
497,DrawIndexed,14.72
498,DrawIndexed,14.76
499,DrawIndexed,15.36
500,DrawIndexed,14.32
501,DrawIndexed,15.12
502,DrawIndexed,15.64
503,DrawIndexed,14.12
504,DrawIndexed,16.6
505,DrawIndexed,14.24
506,DrawIndexed,17.48
507,DrawIndexed,16.08
508,DrawIndexed,17.68
509,DrawIndexed,14.32
510,DrawIndexed,14.84
511,DrawIndexed,16.04
512,DrawIndexed,14.48
513,DrawIndexed,14.68
514,DrawIndexed,14.24
515,DrawIndexed,5.76
516,DrawIndexed,14.92
517,DrawIndexed,15.08
518,DrawIndexed,14.4
519,DrawIndexed,14.52
520,DrawIndexed,15.44
521,DrawIndexed,15.04
522,DrawIndexed,16.12
523,DrawIndexed,14.36
524,DrawIndexed,14.56
525,DrawIndexed,14.6
526,DrawIndexed,16.32
527,DrawIndexed,5.68
528,DrawIndexed,14.6
529,DrawIndexed,5.68
530,DrawIndexed,15.4
531,DrawIndexed,14.12
532,DrawIndexed,15.08
533,DrawIndexed,17
534,DrawIndexed,15.04
535,DrawIndexed,18.64
536,DrawIndexed,14.4
537,DrawIndexed,15.6
538,DrawIndexed,14.52
539,DrawIndexed,16.04
540,DrawIndexed,16.6
541,DrawIndexed,14.64
542,DrawIndexed,16.32
543,DrawIndexed,15.84
544,DrawIndexed,16.8
545,DrawIndexed,15.08
546,DrawIndexed,16.08
547,DrawIndexed,14.12
548,DrawIndexed,18.92
549,DrawIndexed,8.4
550,DrawIndexed,9.08
551,DrawIndexed,10.96
552,DrawIndexed,7.8
553,DrawIndexed,15.6
554,DrawIndexed,7.84
555,DrawIndexed,8.36
556,DrawIndexed,7.44
557,DrawIndexed,7.28
558,DrawIndexed,8.72
559,DrawIndexed,10.28
560,DrawIndexed,7.52
561,DrawIndexed,8.6
562,DrawIndexed,8.32
563,DrawIndexed,19.4
564,DrawIndexed,15.04
565,DrawIndexed,12.36
566,DrawIndexed,15.4
567,DrawIndexed,47.72
568,DrawIndexed,45.76
569,DrawIndexed,9.16
570,DrawIndexed,8.92
571,DrawIndexed,9.88
572,DrawIndexed,9.84
573,DrawIndexed,9.12
574,DrawIndexed,7.2
575,DrawIndexed,6.12
576,DrawIndexed,6.8
577,DrawIndexed,437.28
578,DrawIndexed,9.36
579,DrawIndexed,9.2
580,DrawIndexed,6.96
581,DrawIndexed,6.56
582,DrawIndexed,6.72
583,DrawIndexed,6.96
584,DrawIndexed,7.52
585,DrawIndexed,11.52
586,DrawIndexed,8.8
587,DrawIndexed,7.12
